Store Name,Store Address,City,State,Pincode
Eluru-Narsimharaopet,"Unit no. 25-19-9, Ground and First Floor, CMR Shopping Mall, situated near APSRTC Bus station, Vijayawada Road, Narasimharao Pet, Main road, Eluru, West Godavari Andhra Pradesh  - 534006",Eluru,Andhra Pradesh,534006
Guntur-Lakshmipuram Road,"Ground & First  floor New Building, # 3-28, 19/4, Brundavan Gardens, Lakshmipuram Main Road, Guntur Andhra Pradesh - 522006",Guntur,Andhra Pradesh,522006
Rajahmundry-RTC Complex Road,"Ground + First floor & Part Second floor R.K. Plaza, RS. No 283/1 RTC Complex Road Rajamahendravaram Andhra Pradesh - 533103",Rajahmundry,Andhra Pradesh,533103
Vizag-Sripuram,"Croma,Ground & First floor MVR # 10-1-39/B&C Waltair Uplands (Opp Rock Park) Siripuram Junction, Visakhapatnam – 530020",Visakhapatnam,Andhra Pradesh,530020
Vizag-Muralinagar,"Croma, First floor Hema Abodes, Botcha Square (Passport Seva Kendra) NH -16, Birla Junction, Muralinagar, Visakhapatnam - 530007",Visakhapatnam,Andhra Pradesh,530007
Chandigarh-Sector 26,"CROMA,Ground/Basement,Building-SC No-57 Sec 26,Madya Marg - 160019",Chandigarh,Chandigarh,160019
Chandigarh-Sector 22B,"CROMA,Ground/First Floor Building SCO No.1094-1095,Sec 22B - 160022",Chandigarh,Chandigarh,160022
Bilaspur-Srikant Verma Marg,"Om Shakuntalan building, plot No.47/1,2 & 3, besides sai darbar near Rama Magneto Mall, Srikant verma marg, Bilaspur- 495001",Bilaspur,Chhattisgarh,495001
Raipur-Pandri Road,"Rajinder Plaza, Part of Ground & First floor, Beside Simran Furniture main road, Vidhan Sabha road, Pandri, Raipur Chhattisgarh-492004",Raipur,Chhattisgarh,492004
Raipur-VIP Chowk,"Shop No 1,2,3,4& 5 at ground floor and shop No.1001,1002,1003,1004 & 1005 at First Floor of currency tower G.E road VIP Chowk Corner, Raipur",Raipur,Chhattisgarh,
Delhi-Rohini,"Croma,Vikas Surya Shopping Mall Plot No.18,Mangalam Place,Sec -3,Rohini  - 110085",New Delhi,Delhi,110085
Delhi-Kamlanagar,"CROMA,27,Bunglow Road Kamla Nagar - 110007",New Delhi,Delhi,110007
"Delhi-Airport Terminal 1D","CROMA,Unit No.5H & 5I,8 Security Hold Area Terminal T-1-D ,Domestic Airport - 110007",New Delhi,Delhi,110007
Delhi-Saket,"CROMA,E-150 Saket - 110017",New Delhi,Delhi,110017
Delhi-Rajouri,"CROMA Plaza,Situated at C-10 Rajouri Garden Ring Road - 110027",New Delhi,Delhi,110027
Delhi-SouthEx,"CROMA,D-14  South Ex.Part 2 - 110049",New Delhi,Delhi,110049
Delhi-Airport Terminal 3 Domestic,"CROMA,Unit No.D-18,Sec.Hold Area(SHA),Dom.Dep. Ter.-3,Indira Gandhi Int. Airport - 110037",New Delhi,Delhi,110037
Delhi-Connaught Place,"CROMA,Grnd Flr,Odeon Cine Complex,D Block Connaught Place - 110001",New Delhi,Delhi,110001
Delhi-Airport Terminal 3 International,"CROMA,Unit No.IN-18b & IN-19a,Sec.Hold Area(SHA) Int. Dep. Term-3,Indira G&hi Int. Airport - 110037",New Delhi,Delhi,110037
Delhi-East Of Kailash,"CROMA,“Lamba House”,Plot No.E-11-A East of Kailash - 110065",New Delhi,Delhi,110065
Delhi-Dwarka,"CROMA ,Soul City Mall,Radisson Hotel,Plot No.4 Sec-13,Dwarka - 110075",New Delhi,Delhi,110075
Delhi-Preet Vihar,"CROMA,Plot No.C-53   Preet Vihar,Vikas Marg - 110092",New Delhi,Delhi,110092
Delhi-Pusa Road,"CROMA ,Pusa Road-Plot No.3B  Pusa Road - 110005",New Delhi,Delhi,110005
Delhi-Select City Walk,"CROMA,Select City Walk:F-02,First Floor,Select City Walk Plot No.A-3 & P-1B,District Centre,Saket - 110017",New Delhi,Delhi,110017
Delhi-Rohini West Mall,"CROMA, Unity one-Rohini,Multilevel car parking,Shop no G1,Sector-10 rohini west metro station,Rohini - 110085",New Delhi,Delhi,110085
Delhi-Janakpuri,"CROMA, Unity one-janakpuri,Multilevel Car Parking,Shop no G6,G7, F6 & F7 Janakpuri west metro station, Near Metro Piller No :- 600 - 110058",New Delhi,Delhi,110058
Delhi-Vasant Kunj Mall,"Croma, S-232  , 2nd floor, Ambience Mall, Land Bearing Number 2, Vasant Kunj, Phase 2, Nelson Mandela Road, New Delhi - 110070",New Delhi,Delhi,110070
Delhi-Vegas Mall,"Croma, F-161, F-182 to F-198 Vegas Mall, Block-B, Plot No.6, Sector:14 (North), Dwarka, New Delhi- 110078",New Delhi,Delhi,110078
