State,City,Pincode,Store Name,
Andhra Pradesh,Eluru,534006,Eluru-Narsimharaopet,
Andhra Pradesh,Guntur,522006,Guntur-Lakshmipuram Road,
Andhra Pradesh,Rajahmundry,533103,Rajahmundry-RTC Complex Road,
Andhra Pradesh,Visakhapatnam,530020,Vizag-Sripuram,
Andhra Pradesh,Visakhapatnam,530007,Vizag-Muralinagar,
Chandigarh,Chandigarh,160019,Chandigarh-Sector 26,
Chandigarh,Chandigarh,160022,Chandigarh-Sector 22B,
Chhattisgarh,Bilaspur,495001,Bilaspur-Srikant Verma Marg,
Chhattisgarh,Raipur,492004,Raipur-Pandri Road,
Chhattisgarh,Raipur,492001,Raipur-VIP Chowk,
Delhi,New Delhi,110085,Delhi-Rohini,
Delhi,New Delhi,110007,Delhi-Kamlanagar,
Delhi,New Delhi,110007,Delhi-Airport Terminal 1D,
Delhi,New Delhi,110017,Delhi-Saket,
Delhi,New Delhi,110027,Delhi-Rajouri,
Delhi,New Delhi,110049,Delhi-SouthEx,
Delhi,New Delhi,110037,Delhi-Airport Terminal 3 Domestic,
Delhi,New Delhi,110001,Delhi-Connaught Place,
Delhi,New Delhi,110037,Delhi-Airport Terminal 3 International,
Delhi,New Delhi,110065,Delhi-East Of Kailash,
Delhi,New Delhi,110075,Delhi-Dwarka,
Delhi,New Delhi,110092,Delhi-Preet Vihar,
Delhi,New Delhi,110005,Delhi-Pusa Road,
Delhi,New Delhi,110017,Delhi-Select City Walk,
Delhi,New Delhi,110085,Delhi-Rohini West Mall,
Delhi,New Delhi,110058,Delhi-Janakpuri,
Delhi,New Delhi,110070,Delhi-Vasant Kunj Mall,
Delhi,New Delhi,110078,Delhi-Vegas Mall,
Goa,Goa,403501,Goa-Porvorim,
Gujarat,Ahmedabad,380052,Ahmedabad-Himalaya Mall,
Gujarat,Ahmedabad,380053,Ahmedabad-Devarc,
Gujarat,Ahmedabad,380009,Ahmedabad-Ratna,
Gujarat,Ahmedabad,380003,Ahmedabad-Terminal Domestic,
Gujarat,Ahmedabad,380005,Ahmedabad-Motera,
Gujarat,Ahmedabad,380022,Ahmedabad-Mani Nagar,
Gujarat,Ahmedabad,380060,Ahmedabad-Satyam64,
Gujarat,Ahmedabad,382418,Ahmedabad-Vastral,
Gujarat,Ahmedabad,382350,Ahmedabad-Nikol,
Gujarat,Ahmedabad,380008,Ahmedabad-Maninagar South,
Gujarat,Ahmedabad,380060,Ahmedabad -Science City,
Gujarat,Anand,,Anand-Vidyanagar Road,
Gujarat,Bharuch,392001,Bharuch-Dahej Bypass Road,
Gujarat,Bhavnagar,364001,Bhavnagar-Sun Exotica,
Gujarat,Bhuj,370001,Bhuj-Seven Sky Mall,
Gujarat,Gandhidham,370201,Gandhidham-RT Road,
Gujarat,Jamnagar,361001,Jamnagar-Shreeji One,
Gujarat,Junagadh,362001,Junagadh-Timbawadi Road,
Gujarat,Mehsana,384002,Mehsana-Modhera Circle,
Gujarat,Nadiad,387001,Nadiad-Uttarsanda Road,
Gujarat,Navsari,394624,Navsari-Grid Road,
Gujarat,Palanpur,385001,Palanpur-Delhi Highway,
Gujarat,Rajkot,360005,Rajkot-Crystal Mall,
Gujarat,Rajkot,360002,Rajkot-Nana Mawa Chowk,
Gujarat,Surat,395007,Surat-Ghoddod,
Gujarat,Surat,395001,Surat-Ripple,
Gujarat,Surat,395009,Surat-Adajan,
Gujarat,Surat,395006,Surat-Deepkamal Mall,
Gujarat,Surat,395010,Surat-Parvat Patiya,
Gujarat,Surat,395007,Surat-VIP Road,
Gujarat,Vadodara,390023,Vadodara-Centre Square Mall,
Gujarat,Vadodara,390011,Vadodara-Eva Mall,
